"geography","mobility_type_desc","coefficient","standard_error","p_value"
"US: Texas","Transit","0.39","0.06","0.00"
"US: Texas","Residential","-0.13","0.12","0.25"
"US: Texas","Retail Recreation","-0.16","0.05","0.00"
"US: Texas","Grocery Pharmacy","-0.01","0.03","0.83"
"US: Texas","Parks","-0.07","0.02","0.00"
"US: Texas","Constant","0.23",NA,NA
"US: Texas","N",NA,"107.00",NA
"US: Texas","R2",NA,"0.64",NA
"Romania","Workplace","0.08","0.07","0.23"
"Romania","Transit","0.11","0.14","0.43"
"Romania","Residential","0.09","0.19","0.63"
"Romania","Retail Recreation","-0.01","0.11","0.91"
"Romania","Grocery Pharmacy","-0.01","0.06","0.81"
"Romania","Parks","0.03","0.02","0.16"
"Romania","Constant","-0.54",NA,NA
"Romania","N",NA,"107.00",NA
"Romania","R2",NA,"0.66",NA
"Russia","Workplace","-0.04","0.05","0.42"
"Russia","Transit","0.09","0.10","0.38"
"Russia","Residential","-0.10","0.12","0.39"
"Russia","Retail Recreation","0.13","0.09","0.16"
"Russia","Grocery Pharmacy","-0.13","0.07","0.04"
"Russia","Parks","-0.09","0.03","0.00"
"Russia","Constant","0.82",NA,NA
"Russia","N",NA,"107.00",NA
"Russia","R2",NA,"0.72",NA
"Slovakia","Workplace","-0.06","0.08","0.49"
"Slovakia","Transit","0.16","0.09","0.07"
"Slovakia","Residential","0.06","0.18","0.72"
"Slovakia","Retail Recreation","0.09","0.07","0.15"
"Slovakia","Grocery Pharmacy","-0.04","0.01","0.01"
"Slovakia","Parks","-0.07","0.01","0.00"
"Slovakia","Constant","0.00",NA,NA
"Slovakia","N",NA,"107.00",NA
"Slovakia","R2",NA,"0.70",NA
"Slovenia","Workplace","0.06","0.13","0.63"
"Slovenia","Transit","0.33","0.06","0.00"
"Slovenia","Residential","0.68","0.26","0.01"
"Slovenia","Retail Recreation","0.14","0.05","0.01"
"Slovenia","Grocery Pharmacy","-0.09","0.04","0.03"
"Slovenia","Parks","-0.15","0.02","0.00"
"Slovenia","Constant","-0.63",NA,NA
"Slovenia","N",NA,"107.00",NA
"Slovenia","R2",NA,"0.61",NA
"Spain","Workplace","0.31","0.13","0.02"
"Spain","Transit","-0.18","0.10","0.07"
"Spain","Residential","-0.08","0.25","0.75"
"Spain","Retail Recreation","0.13","0.07","0.07"
"Spain","Grocery Pharmacy","-0.04","0.06","0.51"
"Spain","Parks","-0.04","0.03","0.22"
"Spain","Constant","1.88",NA,NA
"Spain","N",NA,"107.00",NA
"Spain","R2",NA,"0.82",NA
"Sweden","Workplace","-0.06","0.09","0.50"
"Sweden","Transit","0.20","0.06","0.00"
"Sweden","Residential","-0.19","0.42","0.65"
"Sweden","Retail Recreation","-0.25","0.08","0.00"
"Sweden","Grocery Pharmacy","0.07","0.07","0.34"
"Sweden","Parks","-0.02","0.01","0.01"
"Sweden","Constant","3.53",NA,NA
"Sweden","N",NA,"107.00",NA
"Sweden","R2",NA,"0.33",NA
"Ukraine","Workplace","-0.05","0.08","0.57"
"Ukraine","Transit","0.00","0.09","0.98"
"Ukraine","Residential","-0.41","0.19","0.03"
"Ukraine","Retail Recreation","0.11","0.07","0.12"
"Ukraine","Grocery Pharmacy","-0.22","0.08","0.01"
"Ukraine","Parks","0.05","0.04","0.18"
"Ukraine","Constant","1.36",NA,NA
"Ukraine","N",NA,"107.00",NA
"Ukraine","R2",NA,"0.33",NA
"United Kingdom","Workplace","0.01","0.14","0.92"
"United Kingdom","Transit","-0.13","0.18","0.44"
"United Kingdom","Residential","-0.23","0.25","0.37"
"United Kingdom","Retail Recreation","0.21","0.14","0.14"
"United Kingdom","Grocery Pharmacy","0.02","0.10","0.87"
"United Kingdom","Parks","-0.01","0.02","0.63"
"United Kingdom","Constant","1.05",NA,NA
"United Kingdom","N",NA,"107.00",NA
"United Kingdom","R2",NA,"0.66",NA
