"country","variable","coefficient","p_value","standard_error"
"Singapore","CI 2 early","-","-","-"
"Singapore","CI 2 late","-","-","-"
"Singapore","CI 3","-","-","-"
"Singapore","const","-5.012","0","0.449"
"Singapore","N","-","107","-"
"Singapore","R2","-","0","-"
"Slovakia","CI 1 early","-","-","-"
"Slovakia","CI 1 late","-11.378","0","0.55"
"Slovakia","CI 2 early","-3.928","0.074","2.199"
"Slovakia","CI 2 late","-12.897","0","0.543"
"Slovakia","CI 3","-11.372","0","0.68"
"Slovakia","const","0.362","0.272","0.329"
"Slovakia","N","-","107","-"
"Slovakia","R2","-","0.799","-"
"Slovenia","CI 1 early","-","-","-"
"Slovenia","CI 1 late","-11.061","0","0.811"
"Slovenia","CI 2 early","0.492","0.653","1.096"
"Slovenia","CI 2 late","-14.049","0","1.166"
"Slovenia","CI 3","-8.978","0","0.689"
"Slovenia","const","-0.233","0.635","0.49"
"Slovenia","N","-","107","-"
"Slovenia","R2","-","0.699","-"
"Spain","CI 1 early","-","-","-"
"Spain","CI 1 late","-","-","-"
"Spain","CI 2 early","2.341","0.001","0.705"
"Spain","CI 2 late","-12.003","0","0.653"
"Spain","CI 3","-12.777","0","1.214"
"Spain","const","0.2","0.693","0.506"
"Spain","N","-","107","-"
"Spain","R2","-","0.675","-"
"Sweden","CI 1 early","-1.469","0.16","1.044"
"Sweden","CI 1 late","-5.182","0","0.719"
"Sweden","CI 2 early","-3.147","0","0.768"
"Sweden","CI 2 late","-","-","-"
"Sweden","CI 3","-","-","-"
"Sweden","const","2.8","0","0.521"
"Sweden","N","-","107","-"
"Sweden","R2","-","0.218","-"
"Switzerland","CI 1 early","-","-","-"
"Switzerland","CI 1 late","-","-","-"
"Switzerland","CI 2 early","-","-","-"
"Switzerland","CI 2 late","-","-","-"
"Switzerland","CI 3","-","-","-"
"Switzerland","const","-4.414","0","0.528"
"Switzerland","N","-","107","-"
"Switzerland","R2","-","0","-"
"Ukraine","CI 1 early","-","-","-"
"Ukraine","CI 1 late","0.12","0.924","1.256"
"Ukraine","CI 2 early","-3.184","0","0.733"
"Ukraine","CI 2 late","-","-","-"
"Ukraine","CI 3","-","-","-"
"Ukraine","const","0.775","0.212","0.621"
"Ukraine","N","-","107","-"
"Ukraine","R2","-","0.189","-"
"United Kingdom","CI 1 early","1.321","0","0.363"
"United Kingdom","CI 1 late","-","-","-"
"United Kingdom","CI 2 early","-2.821","0.007","1.049"
"United Kingdom","CI 2 late","-13.333","0","1.444"
"United Kingdom","CI 3","-12.942","0","0.738"
"United Kingdom","const","-","-","-"
"United Kingdom","N","-","107","-"
"United Kingdom","R2","-","0.676","-"
