"geography","mobility_type_desc","coefficient","standard_error","p_value","R2","N"
"Slovakia","Retail Recreation","0.14","0.01","0.00","0.55","107.00"
"Slovakia","Grocery Pharmacy","0.08","0.01","0.00","0.17","107.00"
"Slovakia","Parks","-0.03","0.01","0.02","0.03","107.00"
"Slovenia","Workplace","0.14","0.03","0.00","0.25","107.00"
"Slovenia","Transit","0.12","0.02","0.00","0.25","107.00"
"Slovenia","Residential","-0.25","0.06","0.00","0.15","107.00"
"Slovenia","Retail Recreation","0.09","0.01","0.00","0.19","107.00"
"Slovenia","Grocery Pharmacy","0.07","0.02","0.00","0.12","107.00"
"Slovenia","Parks","-0.02","0.02","0.18","0.01","107.00"
"Spain","Workplace","0.21","0.01","0.00","0.77","107.00"
"Spain","Transit","0.16","0.01","0.00","0.68","107.00"
"Spain","Residential","-0.47","0.03","0.00","0.76","107.00"
"Spain","Retail Recreation","0.15","0.01","0.00","0.68","107.00"
"Spain","Grocery Pharmacy","0.19","0.02","0.00","0.53","107.00"
"Spain","Parks","0.12","0.01","0.00","0.48","107.00"
"Sweden","Workplace","0.06","0.03","0.02","0.08","107.00"
"Sweden","Transit","0.07","0.02","0.00","0.08","107.00"
"Sweden","Residential","-0.19","0.08","0.02","0.06","107.00"
"Sweden","Retail Recreation","-0.00","0.03","0.98","0.00","107.00"
"Sweden","Grocery Pharmacy","-0.04","0.05","0.46","0.00","107.00"
"Sweden","Parks","-0.03","0.01","0.00","0.17","107.00"
"Ukraine","Workplace","0.07","0.02","0.00","0.17","107.00"
"Ukraine","Transit","0.07","0.01","0.00","0.18","107.00"
"Ukraine","Residential","-0.27","0.05","0.00","0.24","107.00"
"Ukraine","Retail Recreation","0.06","0.01","0.00","0.15","107.00"
"Ukraine","Grocery Pharmacy","0.08","0.03","0.02","0.10","107.00"
"Ukraine","Parks","0.07","0.02","0.00","0.10","107.00"
"United Kingdom","Workplace","0.21","0.01","0.00","0.60","107.00"
"United Kingdom","Transit","0.20","0.01","0.00","0.62","107.00"
"United Kingdom","Residential","-0.51","0.04","0.00","0.57","107.00"
"United Kingdom","Retail Recreation","0.17","0.01","0.00","0.64","107.00"
"United Kingdom","Grocery Pharmacy","0.30","0.03","0.00","0.50","107.00"
"United Kingdom","Parks","0.02","0.02","0.30","0.01","107.00"
